NumeroQuestao,Enunciado,Alternativa_01,Alternativa_02,Alternativa_04,Alternativa_08,Alternativa_16,Alternativa_32,Alternativa_64,Resposta
01,"Com base no texto 1 e de acordo com a variedade padrão da língua escrita, é correto afirmar",o trecho “no que afeta ou não afeta diretamente nossas vidas e nossos hábitos” (linhas 03-04),"em “são, mesmo, extremos opostos, a extrema angústia do desconhecido e o extremo conforto",“Entreouvida” (linha 01) é um neologismo formado pela junção de dois verbos.,"em “Não sei se é uma frase feita” (linhas 01-02), a expressão sublinhada equivale a “clichê”.",o trecho “aqueles furos no universo em que a matéria desaparece” (linha 06) é aposto de,em “coisas da vizinhança próxima que parecem não ter nada a ver com nossas vidas têm,,
02,"Com base no texto 1 e de acordo com a variedade padrão da língua escrita, é correto afirmar",a tese do texto é a crítica à prática do turismo sexual no Brasil.,"em “Mas da mesma forma que estes extremos não estão tão longe assim” (linha 13), a",a retomada por Stephen Hawking de leis da física evidencia que o conhecimento científico,"“moral” (linha 20) e “amoral” (linha 25) são adjetivos formados pelo acréscimo de sufixo ‘al’, à",o texto 1 estabelece uma relação de antítese entre “buracos negros” e “café com leite”.,"em “contas ofishór” (linhas 17-18), o termo sublinhado é o registro de um estrangeirismo",,
03,"Com base nos textos 1 e 2 e de acordo com a variedade padrão da língua escrita, é correto","o texto 1 vincula a palavra “bárbaro” ao sentido de barbárie, já o texto 2 explora a ambiguidade","“Que absurdo!” e “Que bárbaro!”, no texto 2, são interjeições que expressam surpresa e","no segundo quadro do texto 2, o termo “o que” exerce a função de predicativo e tem referência","no terceiro quadro do texto 2, a frase “Que bárbaro!” expressa a empolgação da personagem","no trecho “Muito mais bárbaro do que você imagina”, no texto 2, o adjetivo “bárbaro” está",,,
04,"Com base no texto 3 e na leitura integral da obra Velhos, publicada originalmente em 2020, no","embora o título explore diferentes sentidos de “desculpas”, a leitura integral do texto 3 enfatiza",a ênfase das narrativas que compõem Velhos recai sobre as mazelas do envelhecimento e a,"a precisão e a concisão dos contos que integram Velhos estão presentes inclusive nos títulos,","o fragmento “Dois dentes quebrados, três costelas fraturadas, as maçãs do rosto raladas,","no texto 3, ocorre a interação de diversos fatores sociais, como faixa etária, gênero, classe,",a autora subverte as regras de paragrafação ao eliminar o recuo para sinalizar os diálogos,,
05,"Com base no texto 4 e na leitura integral da obra A alma encantadora das ruas, de João do Rio,","no emprego da vírgula antes da forma verbal “é” (linhas 02 e 03), o autor subverte as normas","o narrador do texto 4 estabelece uma relação entre escrita e cidade, assim aquilo que viceja é a","a ausência de acento gráfico em “vates” (linha 06), “versejadores” (linha 07) e “nefelibatas”","João do Rio é considerado pioneiro da crônica-reportagem, dado o procedimento incomum à","a não compreensão do significado das palavras “vates” (linha 06), “versejadores” (linha 07) e",,,
06,"Com base nos textos 5 e 6, na leitura integral da obra O mez da grippe, de Valêncio Xavier,","a polifonia do enredo é marcada pelo ponto de vista de documentos oficiais, do jornal","a estrutura da narrativa é em forma de diário, marcada pela divisão nos meses outubro,",,"no texto 5, o espaço em branco destinado à notícia sobre a influenza é uma homenagem ao","da ortografia da língua portuguesa do início do século XX, registrada no texto 6, depreende-se",o que no texto 6 é identificado como boato na epidemia da gripe espanhola pode ser,,
07,"Com base no texto 7 e de acordo com a variedade padrão da língua escrita, é correto afirmar",a remoção das charges sobre censura e sua justificativa evidenciam que uma exposição sobre,o emprego da forma no gerúndio indica que o evento descrito ocorre simultaneamente ao,as diferentes formas “Por que” e “Porque” indicam uma relação de causa e consequência.,a ironia na resposta à pergunta é reforçada pelos elementos do texto não verbal.,a preposição “sobre” relaciona os termos “as charges” e “censura” com ideia de lugar.,o emprego da forma verbal “estão” indica que a censura é um ato para além do sujeito que,,
08,"Com base no texto 8, na leitura integral da obra O ano em que meus pais saíram de férias,","no texto 8, o emprego da vírgula na frase “Mauro, maravilhado.” (linha 05) marca a elipse do","no texto 8, a flexão verbal no tempo presente marca os acontecimentos que integram a cena,","no texto 8, o Rabino Samuel “desfere um tapa na cabeça” (linha 12) de Mauro por o garoto","no texto 8, a forma verbal “seguem-se” (linha 09) está no plural por o sujeito da sentença ser","no texto 8, o desejo de Mauro de ser “negro” e “voador” (linha 18), na cena narrada, é antigo,","a cena do jogo, descrita no texto 8, se torna importante para Mauro por marcar o momento tão","Edgar é apresentado no roteiro como um símbolo de resistência à ditadura, com a",
09,"Com base nos textos 8 e 9 e de acordo com a variedade padrão da língua escrita, é correto","no texto 8, a passagem do tempo é marcada pela sequência dos acontecimentos descritos,",os textos afirmam a capacidade técnica dos dois goleiros para evitar a marcação de gols.,"o pronome “isso” retoma o termo “calma”, expressando a ideia de que a função de um goleiro é",a pontuação antes e depois de “Dudu” isola o sujeito da oração.,"no texto 9, as letras em destaque no primeiro e no terceiro quadro são empregadas como um","o emprego do verbo ‘ir’, no primeiro quadro, indica marcação de tempo futuro.",,
10,"Com base no texto 10 e na leitura integral da obra Úrsula, publicada originalmente em 1859, no","os termos pronominais “ele” (linhas 03 e 04) retomam a mesma personagem, referida por",o texto 10 retrata aquilo que acaba por ser uma importante dimensão do romance: a profunda,o emprego de itálico nas duas passagens do texto 10 (linhas 10 e 11) marca uso da linguagem,"publicada em pleno Romantismo, a obra incorpora a idealização dos protagonistas, a","em “aquilo que Deus lhe dera” (linha 14), a referência religiosa reforça a crença de Túlio no",,,
11,"Com base nos textos 10 e 11 e na leitura integral das obras Úrsula e Torto arado, esta publicada","no texto 11, as expressões “parido pela terra” (linha 08) e “parida pela terra” (linha 10) são","no texto 11, identificamos um processo de caracterização de Severo que privilegia aspectos",os textos 10 e 11 evidenciam uma faceta comum em romances românticos: a clássica história,"em “diferente dos donos dali, que não conheciam muita coisa do que tinham, que talvez não",se depreende dos textos o tratamento da temática da privação da liberdade em diferentes,,,
12,Com base nos textos 1 a 11 e no que diz respeito ao gênero e à esfera que caracteriza a,"os textos 5 e 6 são NOTÍCIAS porque circulam na esfera JORNALÍSTICA, tal como editorial,","os textos 2 e 9 são conhecidos como TIRAS ou TIRINHAS, que circulam na esfera","o texto 7 é uma CHARGE, que circula na esfera JORNALÍSTICA, geralmente para expressar","o texto 8 faz parte de um ROTEIRO, gênero exclusivo da esfera CINEMATOGRÁFICA, pois","os textos 1, 3 e 4 são (partes de) CRÔNICAS, que circularam na esfera JORNALÍSTICA e","os textos 10 e 11 fazem parte de ROMANCES, caracterizados por uma escrita narrativa",,
13,"According to text 1, it is correct to say that:",the text brings information on the number of people who watched a movie.,the movie has not been reviewed yet.,more than two thousand people evaluated the movie.,the text displays information about the movie genre.,the movie studio that produced the film appears in the text.,,,
14,"In text 2, we can find information about:",the movie soundtrack.,the movie plot.,the entire movie cast.,how much the producers spent to make the movie.,how the audience evaluates the movie.,the movie length.,,
15,Select the proposition(s) that contains (contain) appropriate translations for the underlined words,characters: características,fate: fato,"flee: fogem, escapam",release date: data de lançamento,rating: classificação,,,
16,Select the correct proposition(s) according to text 3.,The Bucket List premiered in 2007.,The main characters of the movie have different occupations.,The Bucket List is a horror movie.,Edward Cole has been divorced two times.,Carter Chambers is a History teacher.,,,
17,Select the correct proposition(s) according to text 3.,The writer of the review thinks that the topic of the movie is not creative.,"Before seeing the movie, the writer thought the movie would be very good.",The writer thinks the movie was too sad and serious.,Carter and Edward have been friends since childhood.,"In the movie, Carter and Edward travel around the world.",,,
18,Select the proposition(s) which contains (contain) a correct definition or synonym for the words or,reflect: think,tenderness: insensitivity,cheesy: taste of cheese,tosses: throws,cultured: educated,tormenting: torturing,,
19,Select the correct proposition(s) according to text 4.,“Don’t bring me no rocking chair” shows use of nonstandard English grammar.,“‘Cause tired don’t mean lazy” presents an abbreviation.,“But ain’t I lucky I can still breathe in” shows use of nonstandard English grammar.,“I will only ask one favor” presents a verb in the past tense.,“Don’t pity me!” shows use of nonstandard English grammar.,“I’m the same person I was back then” presents a verb in the passive voice.,,
20,"According to text 5, it is correct to say that:",the first paragraph brings information about the book content and the author.,the review shows the name of the book publisher.,the third paragraph explains how the book has been translated.,it provides information about how to buy the book.,the book review focuses on the book characters.,the second paragraph explains how the writer’s professional experience inspired the book.,,
21,Determine a soma dos números associados à(s) proposição(ões) correta(s) e transfira o,"Em uma pequena fábrica de bolas, 4 máquinas juntas produzem 1.000 bolas em 15 dias. Um","Em uma loja de departamento trabalham 280 funcionários, sendo 30% homens e os demais,",,"Se ݔൌݕ௭, ݕൌቀ","Se ݖଵ e ݖଶ são números complexos dados por ݖଵൌ1 ൅3݅ e ݖଶൌ2 െ݅, então","Em Թ, o conjunto solução da inequação",,
22,Determine a soma dos números associados à(s) proposição(ões) correta(s) e transfira o,"Se a função ݂ሺݔሻൌܽݔ൅ܾ, com ܽ e ܾ reais, satisfaz ݂ሺ4ሻൌ6 e ݂ሺെ2ሻൌ3, então a taxa de","Se ݇൏1, então a função quadrática ݂ሺݔሻൌሺ݇െ1ሻݔଶ൅ሺ2݇൅1ሻݔ൅݇ é negativa para todo","Se ݔ, ݕ ∈Թ são tais que ݈݋݃ݔെ݈݋݃ݕൌ݈݋݃3 e 9௫ିଶ௬ൌ27, então ݔ൅ݕ é múltiplo de 6.","Se a função ݂ definida por ݂ሺݔሻൌ|ݔ൅ܽ| ൅ܾ, com a e b reais, tem gráfico dado como na","Se ݂, ݃ e ݄ são funções reais tais que ݂ሺݔሻൌ2ݔ൅7, ݄ሺݔሻൌ2ݔଶ൅2ݔെ1 e ݄ሺݔሻൌሺ݂∘݃ሻሺݔሻ,","Se ݂: Թ →Թା∗ é definida por ݂ሺݔሻൌ3௫൅2, então ݂ é bijetora e ݂ିଵሺ11ሻൌ2.",,
23,O professor de educação física de uma pequena escola resolveu construir um campo de futebol.,,,,,,,,
24,Determine a soma dos números associados à(s) proposição(ões) correta(s) e transfira o,"Se ܣ e ܤ são matrizes quadradas de mesma ordem, então ݀݁ݐሺܣ∙ܤሻൌ ݀݁ݐሺܤ∙ܣሻ.",Existe ݇∈Թ tal que o sistema linear ൝,"Se ܣ é uma matriz triangular superior, então ܣ não é triangular inferior.",Existe apenas um ݔ∈Թ tal que as matrizes ܣൌ൬3,A matriz ܣൌ൭,Se ܣൌ൮,,
25,Determine a soma dos números associados à(s) proposição(ões) correta(s) e transfira o,Considere a sequência cujo termo geral é dado por ܽ݊ൌ݊2 െ2݊൅3 com ݊∈Գ∗. O número,"Se em uma progressão aritmética a soma do 4º termo com o 37º termo é 81, então a soma",,"Considerando os algarismos 0, 1, 2, 3, 4, 5, 6, 7, 8 e 9, podemos formar 3.742 números de",,"Um casal pretende ter três filhos. Se a primeira criança que nasceu foi uma menina, então a",,
26,Determine a soma dos números associados à(s) proposição(ões) correta(s) e transfira o,"A equação ܿ݋ݏݔൌ1 admite quatro soluções no intervalo ሾ0,4πሿ.","A equação ݏ݁݊ሺ2ݔሻൌݏ݁݊ݔ admite três soluções no intervalo ሾ0, πሿ.","Se ݔ∈ሺ0, πሻ, então ܿ݋ݏݔ൐0.",A função ݂ሺݔሻൌܿ݋ݏሺݔଷሻ é uma função ímpar.,ܿ݋ݏሺ3∘ሻൌݏ݁݊ሺ87∘ሻ.,,,
27,Determine a soma dos números associados à(s) proposição(ões) correta(s) e transfira o,Se A e C são funções de uma variável r tais que ܣሺݎሻ é a área de um círculo com raio ݎ e,O polinômio ݌ሺݔሻൌݔସെ16 é divisível pelo polinômio ݍሺݔሻൌݔଶ൅4.,"Se ݌ሺݔሻ e ݍሺݔሻ são polinômios de grau 6, então ݌ሺݔሻ൅ݍሺݔሻ é um polinômio de grau pelo",A soma de todas as raízes reais da equação 4ଶ௫െ10 ⋅4௫ൌെ16 é igual a 2.,A função ݂ሺݔሻൌݔଷ൅1 é inversa da função ݃ሺݔሻൌ√ݔെ1,,,
28,Determine a soma dos números associados à(s) proposição(ões) correta(s) e transfira o,A distância focal da hipérbole dada pela equação,,,A parábola ݔൌݕଶെ1 intercepta a hipérbole ݔଶെݕଶൌ1 em exatamente três pontos distintos.,"Se três números reais positivos distintos estão em progressão aritmética, então eles são",,,
29,Determine a soma dos números associados à(s) proposição(ões) correta(s) e transfira o,"Se um cubo tem volume 27 cmଷ, então o raio da esfera circunscrita a ele mede","Se os pontos ܲሺ1,2ሻ, ܳሺ2,3ሻ e ܴሺܽ, ܾሻ são colineares, então ܾെܽൌ1.","Se cada aresta de um tetraedro regular mede 2 cm, então a área de sua superfície é 4√3 cmଶ.",A reta ݎ: √3 ݔ൅ݕൌ2 é tangente à circunferência ݔଶ൅ݕଶൌ1.,As retas ݎ: 4ݔ൅5ݕൌ1 e ݏ:,As retas ݎ: െ3ݔ൅2ݕൌ1 e ݏ: െ6ݕ൅9ݔൌെ3 se interceptam no primeiro quadrante.,,
30,"Na figura abaixo, os pontos A, B e C são centros dos círculos desenhados e são vértices de um",A área da região pintada S é maior que a da região pintada T.,A área da região obtida ao removermos a região pintada R do triângulo ABC é igual a,,A área do trapézio ACDE é igual a,A área do triângulo ABC é igual a,,,
31,"O gráfico abaixo representa a biomassa de fitoplâncton e de zooplâncton, por um período anual,","a relação ecológica entre fitoplâncton e zooplâncton é amensalismo, caracterizada por ser",a pirâmide de biomassa corresponde ao último trimestre do ano analisado.,"condições ambientais como mudanças na temperatura, na intensidade luminosa e nos",geralmente a biomassa diminui ao longo de uma cadeia alimentar devido à perda de matéria,"pirâmides de energia indicam a produtividade do ecossistema, por isso nunca ficam invertidas.","em um dado momento, a biomassa de zooplâncton pode ser maior que a de fitoplâncton, cuja",,
32,"Nos pepinos, a fruta lisa (aa) é recessiva para a fruta rugosa (AA ou Aa) e a fruta brilhosa (bb) é",os genes que condicionam textura e brilho no pepino estão no mesmo cromossomo.,"entre os descendentes, espera-se que haja mais frutas lisas e brilhosas do que lisas e foscas.","no parental com fruta rugosa e fosca, os genes estão na posição trans, possibilitando a",as frequências dos gametas estão de acordo com a Segunda Lei de Mendel.,a distância de mapa gênico entre genes A e B é de oito centimorgans.,se espera um percentual de 42% dos descendentes com frutas lisas e brilhosas.,,
33,"Com o objetivo de revisar os conteúdos do reino Animalia, um professor selecionou as",Proposição II: os crustáceos são animais que vivem exclusivamente em ambientes aquáticos,Proposição I: a característica mais importante usada para separar os animais em filos distintos,Proposição I: a característica mais importante usada para separar os animais em filos distintos,"Proposição VI: os equinodermos, os poríferos e os cnidários são animais deuterostômios; já","Proposição IV: no cavalo-marinho e no peixe-boi, por serem mamíferos, encontram-se quatro","Proposição V: bivalves, poliquetas e cracas retiram da água partículas alimentares em",Proposição III: o plâncton marinho é constituído por seres que se deslocam passivamente na,
34,"A figura abaixo apresenta os procedimentos de extração de RNA, de transcrição reversa, de",o genoma do HIV é constituído de RNA de fita simples.,a transcrição reversa é um processo em que ocorre a produção do RNA mensageiro.,a eletroforese possibilita também a realização de investigações forenses e de testes de,o fragmento revelado na eletroforese da pessoa infectada é constituído de RNA viral do HIV.,a enzima de restrição é utilizada nos processos da transcrição reversa e da PCR.,o fragmento amplificado por PCR migra para o polo positivo na eletroforese.,,
35,A proteína p53 tem papel central no,"a apoptose é o reparo dos danos presentes no DNA, tornando a célula temporariamente",a possível consequência da “desobediência” da célula com o DNA danificado retratada na,a falta da função da proteína p53 permite que a célula cancerosa sobreviva e se prolifere,"a proteína p53 pode induzir a apoptose em uma célula com danos irreparáveis, tornando-a",o mecanismo ilustrado no final da tirinha estabelece uma relação alternativa para promover a,,,
36,A figura abaixo representa a osmose em duas situações nas quais há um recipiente separado,o transporte representado é um tipo de transporte ativo.,"na situação A, as hemácias ficam murchas e as células vegetais ficam plasmolisadas.","considerando o transporte passivo do soluto, os sentidos seriam o mesmo do esquema.","em contraste às células animais, as células de vegetais, bactérias e fungos possuem paredes","na situação A, não ocorre o rompimento da membrana plasmática em protozoários por causa",,,
37,"A figura abaixo apresenta cortes transversais para demonstrar indivíduos acelomados,",todos os animais representados têm simetria bilateral.,a fase embrionária dos animais representada na imagem é a mórula.,"os animais B e C são protostômios e os animais D e E são deuterostômios, pois estes","nos animais E, o tubo neural, que originará o sistema nervoso, é formado a partir do","os animais pseudocelomados têm órgãos contidos em uma cavidade, porém esta não se","os animais A, B e C podem ser, respectivamente, um cnidário, um platelminto e um",,
38,Leia o texto abaixo.,"nos basidiomicetos, durante a reprodução sexuada, ocorre em primeiro lugar a cariogamia (a",existem fungos que conseguem capturar pequenos organismos com o auxílio de hifas,o mofo nas residências é principalmente causado por fungos representantes do grupo dos,"alguns fungos evoluíram em conjunto com algas ou cianobactérias, desenvolvendo uma","nas hifas, a passagem livre de citoplasma e de organelas entre células acontece somente nos",,,
39,Leia o texto abaixo.,a doença conhecida popularmente como elefantíase é transmitida pela picada do mosquito do,"por ser transmitida pela urina de ratos contaminados, a leptospirose, uma doença causada por","a raiva é uma doença que afeta o nosso sistema nervoso central e é transmitida pela mordida,",a febre maculosa é causada por uma bactéria transmitida pela picada do carrapato-estrela;,no processo evolutivo interespecífico entre parasita e hospedeiro não ocorre a seleção,as solitárias são endoparasitas do sistema digestório humano que têm o corpo dividido em,,
40,Um professor apresentou dois esquemas para resumir a origem dos diversos tecidos das,"o esquema A está incorreto, pois o xilema secundário não se origina do xilema primário; sua","o câmbio interfascicular não se origina no câmbio fascicular e sim nos tecidos do parênquima,","o floema secundário se origina do floema primário, conforme indicado no esquema A.","o súber tem origem nos tecidos do felogênio, conforme indicado no esquema B.","o esquema B está incorreto, pois o colênquima e o esclerênquima são tecidos derivados do",,,
95,. Esse governo foi marcado por uma série de medidas dentro,,,,,,,,
